batch_index,start_sample,accuracy,drift_detected
0,0,0.984,False
1,500,0.918,True
2,1000,0.994,True
3,1500,1.0,True
4,2000,0.996,True
5,2500,1.0,True
6,3000,1.0,True
7,3500,1.0,True
8,4000,1.0,True
9,4500,1.0,True
10,5000,1.0,True
11,5500,1.0,True
12,6000,1.0,True
13,6500,1.0,True
14,7000,1.0,True
15,7500,1.0,True
16,8000,1.0,True
17,8500,1.0,True
18,9000,1.0,True
19,9500,1.0,True
20,10000,1.0,True
21,10500,1.0,True
22,11000,1.0,True
23,11500,1.0,True
24,12000,1.0,True
25,12500,1.0,True
26,13000,1.0,True
27,13500,1.0,True
28,14000,1.0,True
29,14500,1.0,True
30,15000,1.0,True
31,15500,1.0,True
32,16000,1.0,True
33,16500,1.0,True
34,17000,1.0,True
35,17500,1.0,True
36,18000,1.0,True
37,18500,1.0,True
38,19000,1.0,True
39,19500,1.0,True
40,20000,1.0,True
41,20500,1.0,True
42,21000,1.0,True
43,21500,1.0,True
44,22000,1.0,True
45,22500,1.0,True
46,23000,1.0,True
47,23500,1.0,True
48,24000,1.0,True
49,24500,1.0,True
50,25000,1.0,True
51,25500,1.0,True
52,26000,1.0,True
53,26500,1.0,True
54,27000,1.0,True
55,27500,1.0,True
56,28000,1.0,True
57,28500,1.0,True
58,29000,1.0,True
59,29500,1.0,True
60,30000,1.0,True
61,30500,1.0,True
62,31000,1.0,True
63,31500,1.0,True
64,32000,1.0,True
65,32500,1.0,True
66,33000,1.0,True
67,33500,1.0,True
68,34000,1.0,True
69,34500,1.0,True
70,35000,1.0,True
71,35500,1.0,True
72,36000,1.0,True
73,36500,1.0,True
74,37000,1.0,True
75,37500,1.0,True
76,38000,1.0,True
77,38500,1.0,True
78,39000,1.0,True
79,39500,1.0,True
80,40000,1.0,True
81,40500,1.0,True
82,41000,1.0,True
83,41500,1.0,True
84,42000,1.0,True
85,42500,1.0,True
86,43000,1.0,True
87,43500,1.0,True
88,44000,1.0,True
89,44500,1.0,True
90,45000,1.0,True
91,45500,1.0,True
92,46000,1.0,True
93,46500,1.0,True
94,47000,1.0,True
95,47500,1.0,True
96,48000,1.0,True
97,48500,1.0,True
98,49000,1.0,True
99,49500,1.0,True
100,50000,1.0,True
101,50500,1.0,True
102,51000,1.0,True
103,51500,1.0,True
104,52000,1.0,True
105,52500,1.0,True
106,53000,1.0,True
107,53500,1.0,True
108,54000,1.0,True
109,54500,1.0,True
110,55000,1.0,True
111,55500,1.0,True
112,56000,1.0,True
113,56500,1.0,True
