batch_index,start_sample,accuracy,drift_detected
0,0,0.984,False
1,500,0.002,True
2,1000,0.994,True
3,1500,0.992,True
4,2000,0.996,True
5,2500,0.992,True
6,3000,1.0,True
7,3500,1.0,True
8,4000,0.996,True
9,4500,0.996,True
10,5000,1.0,True
11,5500,0.996,True
12,6000,0.988,True
13,6500,0.984,True
14,7000,0.994,True
15,7500,0.354,True
16,8000,0.982,True
17,8500,0.008,True
18,9000,0.012,True
19,9500,0.004,True
20,10000,0.142,True
21,10500,0.002,True
22,11000,0.794,True
23,11500,1.0,True
24,12000,0.998,True
25,12500,0.996,True
26,13000,0.986,True
27,13500,0.002,True
28,14000,0.19,True
29,14500,0.996,True
30,15000,0.996,True
31,15500,0.988,True
32,16000,0.012,True
33,16500,0.002,True
34,17000,0.998,True
35,17500,0.996,True
36,18000,0.986,True
37,18500,1.0,True
38,19000,0.996,True
39,19500,0.996,True
40,20000,0.996,True
41,20500,0.994,True
42,21000,0.186,True
43,21500,0.998,True
44,22000,0.996,True
45,22500,0.796,True
46,23000,0.994,True
47,23500,0.994,True
48,24000,0.012,True
49,24500,0.016,True
50,25000,0.192,True
51,25500,0.998,True
52,26000,0.994,True
53,26500,0.992,True
54,27000,1.0,True
55,27500,0.998,True
56,28000,0.996,True
57,28500,0.998,True
58,29000,1.0,True
59,29500,0.992,True
60,30000,0.996,True
61,30500,0.996,True
62,31000,0.994,True
63,31500,0.996,True
64,32000,0.998,True
65,32500,0.992,True
66,33000,0.998,True
67,33500,0.992,True
68,34000,0.99,True
69,34500,0.996,True
70,35000,0.998,True
71,35500,0.994,True
72,36000,0.996,True
73,36500,0.21,True
74,37000,0.998,True
75,37500,0.996,True
76,38000,0.998,True
77,38500,0.996,True
78,39000,0.998,True
79,39500,0.996,True
80,40000,0.992,True
81,40500,0.998,True
82,41000,0.996,True
83,41500,0.998,True
84,42000,0.992,True
85,42500,0.994,True
86,43000,0.998,True
87,43500,0.996,True
88,44000,0.992,True
89,44500,1.0,True
90,45000,0.996,True
91,45500,0.99,True
92,46000,0.208,True
93,46500,0.194,True
94,47000,0.202,True
95,47500,0.218,True
96,48000,0.2,True
97,48500,0.212,True
98,49000,0.994,True
99,49500,0.214,True
100,50000,0.214,True
101,50500,0.208,True
102,51000,0.206,True
103,51500,0.22,True
104,52000,0.222,True
105,52500,0.218,True
106,53000,0.212,True
107,53500,0.21,True
108,54000,0.21,True
109,54500,0.214,True
