batch_index,start_sample,accuracy,drift_detected
0,0,1.0,False
1,100,1.0,False
2,200,1.0,False
3,300,1.0,False
4,400,1.0,False
5,500,1.0,False
6,600,1.0,False
7,700,1.0,False
8,800,1.0,False
9,900,1.0,False
10,1000,1.0,False
11,1100,1.0,False
12,1200,1.0,False
13,1300,1.0,False
14,1400,1.0,False
15,1500,1.0,False
16,1600,1.0,False
17,1700,1.0,False
18,1800,1.0,False
19,1900,1.0,False
20,2000,1.0,False
21,2100,1.0,False
22,2200,1.0,False
23,2300,1.0,False
24,2400,1.0,False
25,2500,1.0,False
26,2600,1.0,False
27,2700,1.0,False
28,2800,1.0,False
29,2900,1.0,False
30,3000,1.0,False
31,3100,1.0,False
32,3200,1.0,False
33,3300,1.0,False
34,3400,1.0,False
35,3500,1.0,False
36,3600,1.0,False
37,3700,1.0,False
38,3800,1.0,False
39,3900,1.0,False
40,4000,1.0,False
41,4100,1.0,False
42,4200,1.0,False
43,4300,1.0,False
44,4400,1.0,False
45,4500,1.0,False
46,4600,1.0,False
47,4700,1.0,False
48,4800,1.0,False
49,4900,1.0,False
50,5000,1.0,False
51,5100,1.0,False
52,5200,1.0,False
53,5300,1.0,False
54,5400,1.0,False
55,5500,1.0,False
56,5600,1.0,False
57,5700,1.0,False
58,5800,1.0,False
59,5900,1.0,False
60,6000,1.0,False
61,6100,1.0,False
62,6200,1.0,False
63,6300,1.0,False
64,6400,1.0,False
65,6500,1.0,False
66,6600,1.0,False
67,6700,1.0,False
68,6800,1.0,False
69,6900,1.0,False
70,7000,1.0,False
71,7100,1.0,False
72,7200,1.0,False
73,7300,1.0,False
74,7400,1.0,False
75,7500,1.0,False
76,7600,1.0,False
77,7700,1.0,False
78,7800,1.0,False
79,7900,1.0,False
80,8000,1.0,False
81,8100,1.0,False
82,8200,1.0,False
83,8300,1.0,False
84,8400,1.0,False
85,8500,1.0,False
86,8600,1.0,False
87,8700,1.0,False
88,8800,1.0,False
89,8900,1.0,False
90,9000,1.0,False
91,9100,1.0,False
92,9200,1.0,False
93,9300,1.0,False
94,9400,1.0,False
95,9500,1.0,False
96,9600,1.0,False
97,9700,1.0,False
98,9800,1.0,False
99,9900,1.0,False
100,10000,1.0,False
101,10100,1.0,False
102,10200,1.0,False
103,10300,1.0,False
104,10400,1.0,False
105,10500,1.0,False
106,10600,1.0,False
107,10700,1.0,False
108,10800,1.0,False
109,10900,1.0,False
110,11000,1.0,False
111,11100,1.0,False
112,11200,1.0,False
113,11300,1.0,False
114,11400,1.0,False
115,11500,1.0,False
116,11600,1.0,False
117,11700,1.0,False
118,11800,1.0,False
119,11900,1.0,False
120,12000,1.0,False
121,12100,1.0,False
122,12200,1.0,False
123,12300,1.0,False
124,12400,1.0,False
125,12500,1.0,False
126,12600,1.0,False
127,12700,1.0,False
128,12800,1.0,False
129,12900,1.0,False
130,13000,1.0,False
131,13100,1.0,False
132,13200,1.0,False
133,13300,1.0,False
134,13400,1.0,False
135,13500,1.0,False
136,13600,1.0,False
137,13700,1.0,False
138,13800,1.0,False
139,13900,1.0,False
140,14000,1.0,False
141,14100,1.0,False
142,14200,1.0,False
143,14300,1.0,False
144,14400,1.0,False
145,14500,1.0,False
146,14600,1.0,False
147,14700,1.0,False
148,14800,1.0,False
149,14900,1.0,False
150,15000,1.0,False
151,15100,1.0,False
152,15200,1.0,False
153,15300,1.0,False
154,15400,1.0,False
155,15500,1.0,False
156,15600,1.0,False
157,15700,1.0,False
158,15800,1.0,False
159,15900,1.0,False
160,16000,1.0,False
161,16100,1.0,False
162,16200,1.0,False
163,16300,1.0,False
164,16400,1.0,False
165,16500,1.0,False
166,16600,1.0,False
167,16700,1.0,False
168,16800,1.0,False
169,16900,1.0,False
170,17000,1.0,False
171,17100,1.0,False
172,17200,1.0,False
173,17300,1.0,False
174,17400,1.0,False
175,17500,1.0,False
176,17600,1.0,False
177,17700,1.0,False
178,17800,1.0,False
179,17900,1.0,False
180,18000,1.0,False
181,18100,1.0,False
182,18200,1.0,False
183,18300,1.0,False
184,18400,1.0,False
185,18500,1.0,False
186,18600,1.0,False
187,18700,1.0,False
188,18800,1.0,False
189,18900,1.0,False
190,19000,1.0,False
191,19100,1.0,False
192,19200,1.0,False
193,19300,1.0,False
194,19400,1.0,False
195,19500,1.0,False
196,19600,1.0,False
197,19700,1.0,False
198,19800,1.0,False
199,19900,1.0,False
200,20000,1.0,False
201,20100,1.0,False
202,20200,1.0,False
203,20300,1.0,False
204,20400,1.0,False
205,20500,1.0,False
206,20600,1.0,False
207,20700,1.0,False
208,20800,1.0,False
209,20900,1.0,False
210,21000,1.0,False
211,21100,1.0,False
212,21200,1.0,False
213,21300,1.0,False
214,21400,1.0,False
215,21500,1.0,False
216,21600,1.0,False
217,21700,1.0,False
218,21800,1.0,False
219,21900,1.0,False
220,22000,1.0,False
221,22100,1.0,False
222,22200,1.0,False
223,22300,1.0,False
224,22400,1.0,False
225,22500,1.0,False
226,22600,1.0,False
227,22700,1.0,False
228,22800,1.0,False
229,22900,1.0,False
230,23000,1.0,False
231,23100,1.0,False
232,23200,1.0,False
233,23300,1.0,False
234,23400,1.0,False
235,23500,1.0,False
236,23600,1.0,False
237,23700,1.0,False
238,23800,1.0,False
239,23900,1.0,False
240,24000,1.0,False
241,24100,1.0,False
242,24200,1.0,False
243,24300,1.0,False
244,24400,1.0,False
245,24500,1.0,False
246,24600,1.0,False
247,24700,1.0,False
248,24800,1.0,False
249,24900,1.0,False
250,25000,1.0,False
251,25100,1.0,False
252,25200,1.0,False
253,25300,1.0,False
254,25400,1.0,False
255,25500,1.0,False
256,25600,1.0,False
257,25700,1.0,False
258,25800,1.0,False
259,25900,1.0,False
260,26000,1.0,False
261,26100,1.0,False
262,26200,1.0,False
263,26300,1.0,False
264,26400,1.0,False
265,26500,1.0,False
266,26600,1.0,False
267,26700,1.0,False
268,26800,1.0,False
269,26900,1.0,False
270,27000,1.0,False
271,27100,1.0,False
272,27200,1.0,False
273,27300,1.0,False
274,27400,1.0,False
275,27500,1.0,False
276,27600,1.0,False
277,27700,1.0,False
278,27800,1.0,False
279,27900,1.0,False
280,28000,1.0,False
281,28100,1.0,False
282,28200,1.0,False
283,28300,1.0,False
284,28400,1.0,False
285,28500,1.0,False
286,28600,1.0,False
287,28700,1.0,False
288,28800,1.0,False
289,28900,1.0,False
290,29000,1.0,False
291,29100,1.0,False
292,29200,1.0,False
293,29300,1.0,False
294,29400,1.0,False
295,29500,1.0,False
296,29600,1.0,False
297,29700,1.0,False
298,29800,1.0,False
299,29900,1.0,False
300,30000,1.0,False
301,30100,1.0,False
302,30200,1.0,False
303,30300,1.0,False
304,30400,1.0,False
305,30500,1.0,False
306,30600,1.0,False
307,30700,1.0,False
308,30800,1.0,False
309,30900,1.0,False
310,31000,1.0,False
311,31100,1.0,False
312,31200,1.0,False
313,31300,1.0,False
314,31400,1.0,False
315,31500,1.0,False
316,31600,0.18,True
317,31700,0.0,True
318,31800,0.0,True
319,31900,0.0,True
320,32000,0.0,True
321,32100,0.0,True
322,32200,0.03,True
323,32300,0.0,True
324,32400,0.01,True
325,32500,0.0,True
326,32600,0.0,True
327,32700,0.01,True
328,32800,0.0,True
329,32900,0.0,True
330,33000,0.0,True
331,33100,0.01,True
332,33200,0.0,True
333,33300,0.0,True
334,33400,0.0,True
335,33500,0.0,True
336,33600,0.0,True
337,33700,0.0,True
338,33800,0.0,True
339,33900,0.0,True
340,34000,0.0,True
341,34100,0.0,True
342,34200,0.0,True
343,34300,0.01,True
344,34400,0.0,True
345,34500,0.0,True
346,34600,0.0,True
347,34700,0.0,True
348,34800,0.0,True
349,34900,0.0,True
350,35000,0.0,True
351,35100,0.0,True
352,35200,0.0,True
353,35300,0.0,True
354,35400,0.0,True
355,35500,0.0,True
356,35600,0.0,True
357,35700,0.0,True
358,35800,0.0,True
359,35900,0.0,True
360,36000,0.0,True
361,36100,0.0,True
362,36200,0.0,True
363,36300,0.0,True
364,36400,0.0,True
365,36500,0.0,True
366,36600,0.0,True
367,36700,0.0,True
368,36800,0.0,True
369,36900,0.0,True
370,37000,0.0,True
371,37100,0.0,True
372,37200,0.0,True
373,37300,0.0,True
374,37400,0.0,True
375,37500,0.0,True
376,37600,0.0,True
377,37700,0.0,True
378,37800,0.0,True
379,37900,0.0,True
380,38000,0.0,True
381,38100,0.0,True
382,38200,0.0,True
383,38300,0.0,True
384,38400,0.0,True
385,38500,0.0,True
386,38600,0.0,True
387,38700,0.0,True
388,38800,0.0,True
389,38900,0.0,True
390,39000,0.0,True
391,39100,0.0,True
392,39200,0.0,True
393,39300,0.0,True
394,39400,0.0,True
395,39500,0.0,True
396,39600,0.0,True
397,39700,0.0,True
398,39800,0.0,True
399,39900,0.0,True
400,40000,0.0,True
401,40100,0.0,True
402,40200,0.0,True
403,40300,0.0,True
404,40400,0.0,True
405,40500,0.0,True
406,40600,0.0,True
407,40700,0.0,True
408,40800,0.0,True
409,40900,0.0,True
410,41000,0.0,True
411,41100,0.0,True
412,41200,0.0,True
413,41300,0.0,True
414,41400,0.0,True
415,41500,0.0,True
416,41600,0.99,True
417,41700,0.95,True
418,41800,1.0,True
419,41900,0.99,True
420,42000,1.0,True
421,42100,0.99,True
422,42200,1.0,True
423,42300,0.99,True
424,42400,1.0,True
425,42500,1.0,True
426,42600,1.0,True
427,42700,0.98,True
428,42800,1.0,True
429,42900,1.0,True
430,43000,1.0,True
431,43100,1.0,True
432,43200,0.99,True
433,43300,0.99,True
434,43400,0.96,True
435,43500,1.0,True
436,43600,1.0,True
437,43700,0.99,True
438,43800,1.0,True
439,43900,1.0,True
440,44000,0.99,True
441,44100,1.0,True
442,44200,1.0,True
443,44300,1.0,True
444,44400,1.0,True
445,44500,1.0,True
446,44600,1.0,True
447,44700,0.99,True
448,44800,0.99,True
449,44900,1.0,True
450,45000,0.99,True
451,45100,1.0,True
452,45200,1.0,True
453,45300,0.99,True
454,45400,0.94,True
455,45500,1.0,True
456,45600,1.0,True
457,45700,1.0,True
458,45800,0.99,True
459,45900,1.0,True
460,46000,1.0,True
461,46100,1.0,True
462,46200,1.0,True
463,46300,0.99,True
464,46400,0.98,True
465,46500,0.97,True
466,46600,0.98,True
467,46700,0.99,True
468,46800,1.0,True
469,46900,1.0,True
470,47000,1.0,True
471,47100,0.99,True
472,47200,0.99,True
473,47300,0.99,True
474,47400,1.0,True
475,47500,0.99,True
476,47600,0.99,True
477,47700,1.0,True
478,47800,1.0,True
479,47900,0.98,True
480,48000,1.0,True
481,48100,1.0,True
482,48200,1.0,True
483,48300,0.99,True
484,48400,1.0,True
485,48500,0.99,True
486,48600,1.0,True
487,48700,1.0,True
488,48800,1.0,True
489,48900,1.0,True
490,49000,1.0,True
491,49100,0.97,True
492,49200,1.0,True
493,49300,1.0,True
494,49400,0.99,True
495,49500,1.0,True
496,49600,1.0,True
497,49700,1.0,True
498,49800,0.98,True
499,49900,1.0,True
500,50000,1.0,True
501,50100,0.99,True
502,50200,0.98,True
503,50300,0.98,True
504,50400,0.99,True
505,50500,1.0,True
506,50600,1.0,True
507,50700,1.0,True
508,50800,0.98,True
509,50900,1.0,True
510,51000,1.0,True
511,51100,0.96,True
512,51200,0.99,True
513,51300,0.98,True
514,51400,1.0,True
515,51500,0.98,True
516,51600,0.98,True
517,51700,0.99,True
518,51800,0.99,True
519,51900,0.98,True
520,52000,0.99,True
521,52100,0.99,True
522,52200,1.0,True
523,52300,1.0,True
524,52400,0.98,True
525,52500,1.0,True
526,52600,1.0,True
527,52700,0.98,True
528,52800,1.0,True
529,52900,1.0,True
530,53000,0.99,True
531,53100,1.0,True
532,53200,0.97,True
533,53300,1.0,True
534,53400,0.95,True
535,53500,1.0,True
536,53600,1.0,True
537,53700,1.0,True
538,53800,0.96,True
539,53900,1.0,True
540,54000,1.0,True
541,54100,0.99,True
